timestamp,episode,step,trafego,carga_cpu,temperatura,action,reward,terminated,truncated
2025-10-08T15:50:42.985733+00:00,2,1,0.089251,0.773956,0.654571,0,0.200000,0,0
2025-10-08T15:50:42.986201+00:00,2,2,0.149287,0.849201,0.498489,0,0.200000,0,0
2025-10-08T15:50:42.986582+00:00,2,3,0.045113,0.859428,0.473189,1,-0.200000,0,0
2025-10-08T15:50:42.986919+00:00,2,4,0.043769,0.791185,0.543541,1,-0.200000,0,0
2025-10-08T15:50:42.987302+00:00,2,5,0.105992,0.796467,0.633720,0,0.200000,0,0
2025-10-08T15:50:42.987714+00:00,2,6,0.143393,0.727724,0.663220,0,0.200000,0,0
2025-10-08T15:50:42.988057+00:00,2,7,0.066682,0.798000,0.659226,0,0.200000,0,0
2025-10-08T15:50:42.988386+00:00,2,8,0.051893,0.743526,0.757030,0,0.200000,0,0
2025-10-08T15:50:42.988704+00:00,2,9,0.039531,0.709259,0.728859,1,-0.200000,0,0
2025-10-08T15:50:42.989018+00:00,2,10,0.082115,0.738495,0.761878,0,0.200000,0,0
2025-10-08T15:50:42.989364+00:00,2,11,0.116581,0.909827,0.729364,1,-0.200000,0,0
2025-10-08T15:50:42.989760+00:00,2,12,0.075602,0.844725,0.778643,0,0.200000,0,0
2025-10-08T15:50:42.990091+00:00,2,13,0.165919,0.835609,0.711430,1,-0.200000,0,0
2025-10-08T15:50:42.990414+00:00,2,14,0.099961,0.887657,0.770891,1,-0.200000,0,0
2025-10-08T15:50:42.990732+00:00,2,15,0.143413,0.834416,0.789464,0,0.200000,0,0
2025-10-08T15:50:42.991038+00:00,2,16,0.152748,0.851911,0.859178,0,0.200000,0,0
2025-10-08T15:50:42.991346+00:00,2,17,0.170636,0.906224,0.864584,0,0.200000,0,0
2025-10-08T15:50:42.991674+00:00,2,18,0.193765,0.956727,0.748012,0,0.200000,0,0
2025-10-08T15:50:42.991989+00:00,2,19,0.168192,0.919097,0.696902,1,-0.200000,0,0
2025-10-08T15:50:42.992348+00:00,2,20,0.146180,1.000000,0.627635,0,0.200000,0,0
2025-10-08T15:50:42.992690+00:00,2,21,0.223643,0.865370,0.600844,0,0.200000,0,0
2025-10-08T15:50:42.993007+00:00,2,22,0.236663,0.912268,0.657742,1,-0.200000,0,0
2025-10-08T15:50:42.993364+00:00,2,23,0.300131,0.884370,0.620754,0,0.200000,0,0
2025-10-08T15:50:42.993771+00:00,2,24,0.368769,0.869066,0.518699,1,-0.200000,0,0
2025-10-08T15:50:42.994087+00:00,2,25,0.278106,0.795510,0.558472,1,-0.200000,0,0
