% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.31	0	0	32	1	10	0	349	0
0.311	0	0	32	2	38	28	9422	0
0.312	0	0	32	3	28	28	9422	0
0.314	0	0	32	5	48	24	6882	0
0.315	0	0	32	6	49	26	7708	0
0.316	0	0	32	7	57	26	7708	0
0.317	0	0	32	8	26	0	349	0
0.318	0	0	32	9	64	28	9422	0
0.319	0	0	32	10	68	28	9422	0
0.321	0	0	33	2	71	24	6882	0
0.322	0	0	33	3	3	0	349	0
0.323	0	0	33	4	5	0	349	0
0.324	0	0	33	5	10	0	349	0
0.325	0	0	33	6	70	24	6882	0
0.326	0	0	33	7	7	0	349	0
0.327	0	0	33	8	9	0	349	0
0.328	0	0	33	9	12	0	349	0
0.329	0	0	33	10	14	0	349	0
0.33	0	0	34	1	13	0	349	0
0.331	0	0	34	2	17	0	349	0
0.332	0	0	34	3	25	0	349	0
0.333	0	0	34	4	37	24	6882	0
0.334	0	0	34	5	38	28	9422	0
0.336	0	0	34	7	48	24	6882	0
0.337	0	0	34	8	49	26	7708	0
0.338	0	0	34	9	57	26	7708	0
0.339	0	0	34	10	26	0	349	0
0.34	0	0	35	1	64	28	9422	0
0.341	0	0	35	2	4	24	6882	0
0.343	0	0	35	4	68	28	9422	0
0.344	0	0	35	5	28	28	9422	0
0.345	0	0	35	6	71	24	6882	0
0.346	0	0	35	7	3	24	6882	0
0.347	0	0	35	8	5	24	6882	0
0.348	0	0	35	9	7	28	9422	0
0.349	0	0	35	10	9	28	9422	0
0.35	0	0	36	1	12	28	9422	0
0.351	0	0	36	2	14	26	7708	0
0.352	0	0	36	3	13	26	7708	0
0.353	0	0	36	4	17	28	9422	0
0.354	0	0	36	5	25	26	7708	0
0.355	0	0	36	6	37	24	6882	0
0.356	0	0	36	7	38	28	9422	0
0.357	0	0	36	8	10	26	7708	0
0.358	0	0	36	9	48	24	6882	0
0.359	0	0	36	10	49	26	7708	0
0.36	0	0	37	1	57	26	7708	0
0.361	0	0	37	2	26	28	9422	0
0.362	0	0	37	3	70	24	6882	0
0.363	0	0	37	4	64	28	9422	0
0.364	0	0	37	5	68	28	9422	0
0.365	0	0	37	6	28	28	9422	0
0.366	0	0	37	7	70	24	6882	0
0.367	0	0	37	8	71	24	6882	0
0.368	0	0	37	9	3	24	6882	0
0.369	0	0	37	10	5	24	6882	0
0.37	0	0	38	1	7	28	9422	0
0.371	0	0	38	2	9	28	9422	0
0.372	0	0	38	3	12	28	9422	0
0.373	0	0	38	4	14	26	7708	0
0.374	0	0	38	5	13	26	7708	0
0.375	0	0	38	6	17	28	9422	0
0.376	0	0	38	7	25	26	7708	0
0.377	0	0	38	8	37	24	6882	0
0.378	0	0	38	9	38	28	9422	0
0.379	0	0	38	10	10	26	7708	0
0.38	0	0	39	1	70	24	6882	0
0.381	0	0	39	2	48	24	6882	0
0.382	0	0	39	3	49	26	7708	0
0.383	0	0	39	4	57	26	7708	0
0.384	0	0	39	5	26	28	9422	0
0.385	0	0	39	6	64	28	9422	0
0.386	0	0	39	7	68	28	9422	0
0.387	0	0	39	8	28	28	9422	0
0.388	0	0	39	9	71	24	6882	0
0.389	0	0	39	10	3	24	6882	0
0.39	0	0	40	1	5	24	6882	0
0.391	0	0	40	2	7	28	9422	0
0.392	0	0	40	3	9	28	9422	0
0.393	0	0	40	4	12	28	9422	0
0.395	0	0	40	6	14	26	7708	0
0.396	0	0	40	7	13	26	7708	0
0.397	0	0	40	8	17	28	9422	0
0.398	0	0	40	9	25	26	7708	0
0.399	0	0	40	10	37	24	6882	0
0.4	0	0	41	1	38	28	9422	0
0.401	0	0	41	2	10	26	7708	0
0.402	0	0	41	3	48	24	6882	0
0.403	0	0	41	4	49	26	7708	0
0.404	0	0	41	5	57	26	7708	0
0.405	0	0	41	6	26	28	9422	0
0.406	0	0	41	7	64	28	9422	0
0.407	0	0	41	8	68	28	9422	0
0.408	0	0	41	9	28	28	9422	0
0.409	0	0	41	10	4	24	6882	0
0.41	0	0	42	1	71	24	6882	0
0.411	0	0	42	2	70	24	6882	0
0.412	0	0	42	3	3	24	6882	0
0.413	0	0	42	4	5	24	6882	0
0.414	0	0	42	5	7	28	9422	0
0.415	0	0	42	6	9	28	9422	0
0.416	0	0	42	7	12	28	9422	0
0.417	0	0	42	8	14	26	7708	0
0.418	0	0	42	9	13	26	7708	0
0.419	0	0	42	10	17	28	9422	0
0.42	0	0	43	1	25	26	7708	0
0.421	0	0	43	2	37	24	6882	0
0.422	0	0	43	3	38	28	9422	0
0.423	0	0	43	4	10	26	7708	0
0.424	0	0	43	5	48	24	6882	0
0.425	0	0	43	6	49	26	7708	0
0.426	0	0	43	7	57	26	7708	0
0.427	0	0	43	8	64	28	9422	0
0.428	0	0	43	9	23	24	6882	0
0.429	0	0	43	10	68	28	9422	0
0.43	0	0	44	1	28	28	9422	0
0.431	0	0	44	2	71	24	6882	0
0.432	0	0	44	3	70	24	6882	0
0.433	0	0	44	4	3	24	6882	0
0.434	0	0	44	5	26	28	9422	0
0.435	0	0	44	6	5	24	6882	0
0.436	0	0	44	7	7	28	9422	0
0.437	0	0	44	8	9	28	9422	0
0.438	0	0	44	9	12	28	9422	0
0.439	0	0	44	10	14	26	7708	0
0.44	0	0	45	1	13	26	7708	0
0.442	0	0	45	3	17	28	9422	0
0.443	0	0	45	4	25	26	7708	0
0.444	0	0	45	5	37	24	6882	0
0.445	0	0	45	6	38	28	9422	0
0.446	0	0	45	7	10	26	7708	0
0.447	0	0	45	8	48	24	6882	0
0.448	0	0	45	9	49	26	7708	0
0.449	0	0	45	10	57	26	7708	0
0.45	0	0	46	1	64	28	9422	0
0.452	0	0	46	3	68	28	9422	0
0.453	0	0	46	4	28	28	9422	0
0.454	0	0	46	5	71	24	6882	0
0.455	0	0	46	6	70	24	6882	0
0.456	0	0	46	7	3	24	6882	0
0.457	0	0	46	8	5	24	6882	0
0.458	0	0	46	9	7	28	9422	0
0.459	0	0	46	10	9	28	9422	0
0.46	0	0	47	1	12	28	9422	0
0.461	0	0	47	2	23	24	6882	0
0.462	0	0	47	3	14	26	7708	0
0.463	0	0	47	4	17	28	9422	0
0.464	0	0	47	5	25	26	7708	0
0.465	0	0	47	6	37	24	6882	0
0.466	0	0	47	7	38	28	9422	0
0.467	0	0	47	8	10	26	7708	0
0.468	0	0	47	9	19	24	6882	0
0.469	0	0	47	10	48	24	6882	0
0.47	0	0	48	1	49	26	7708	0
0.471	0	0	48	2	57	26	7708	0
0.472	0	0	48	3	64	28	9422	0
0.473	0	0	48	4	26	28	9422	0
0.474	0	0	48	5	68	28	9422	0
0.475	0	0	48	6	28	28	9422	0
0.476	0	0	48	7	71	24	6882	0
0.477	0	0	48	8	70	24	6882	0
0.478	0	0	48	9	3	24	6882	0
0.479	0	0	48	10	5	24	6882	0
0.48	0	0	49	1	45	28	9422	0
0.481	0	0	49	2	7	28	9422	0
0.482	0	0	49	3	23	24	6882	0
0.483	0	0	49	4	9	28	9422	0
0.484	0	0	49	5	12	28	9422	0
0.485	0	0	49	6	14	26	7708	0
0.486	0	0	49	7	17	28	9422	0
0.487	0	0	49	8	25	26	7708	0
0.488	0	0	49	9	37	24	6882	0
0.489	0	0	49	10	38	28	9422	0
0.49	0	0	50	1	10	26	7708	0
0.491	0	0	50	2	48	24	6882	0
0.493	0	0	50	4	49	26	7708	0
0.494	0	0	50	5	57	26	7708	0
0.495	0	0	50	6	64	28	9422	0
0.496	0	0	50	7	26	28	9422	0
0.497	0	0	50	8	68	28	9422	0
0.498	0	0	50	9	28	28	9422	0
0.499	0	0	50	10	71	24	6882	0
0.5	0	0	51	1	70	24	6882	0
0.501	0	0	51	2	3	24	6882	0
0.502	0	0	51	3	5	24	6882	0
0.503	0	0	51	4	7	28	9422	0
0.504	0	0	51	5	9	28	9422	0
0.505	0	0	51	6	12	28	9422	0
0.506	0	0	51	7	14	26	7708	0
0.507	0	0	51	8	17	28	9422	0
0.508	0	0	51	9	25	26	7708	0
0.509	0	0	51	10	23	24	6882	0
0.51	0	0	52	1	37	24	6882	0
0.511	0	0	52	2	38	28	9422	0
0.512	0	0	52	3	55	26	7708	0
0.513	0	0	52	4	45	28	9422	0
0.514	0	0	52	5	48	24	6882	0
0.515	0	0	52	6	49	26	7708	0
0.516	0	0	52	7	57	26	7708	0
0.517	0	0	52	8	64	28	9422	0
0.518	0	0	52	9	26	28	9422	0
0.519	0	0	52	10	68	28	9422	0
0.52	0	0	53	1	45	28	9422	0
0.521	0	0	53	2	28	28	9422	0
0.522	0	0	53	3	67	26	7708	0
0.523	0	0	53	4	67	26	7708	0
0.525	0	0	53	6	71	24	6882	0
0.527	0	0	53	8	70	24	6882	0
0.528	0	0	53	9	3	24	6882	0
0.529	0	0	53	10	5	24	6882	0
0.53	0	0	54	1	7	28	9422	0
0.531	0	0	54	2	9	28	9422	0
0.532	0	0	54	3	12	28	9422	0
0.533	0	0	54	4	14	26	7708	0
0.534	0	0	54	5	17	28	9422	0
0.535	0	0	54	6	25	26	7708	0
0.536	0	0	54	7	37	24	6882	0
0.537	0	0	54	8	38	28	9422	0
0.538	0	0	54	9	48	24	6882	0
0.539	0	0	54	10	49	26	7708	0
0.54	0	0	55	1	57	26	7708	0
0.541	0	0	55	2	64	28	9422	0
0.542	0	0	55	3	26	28	9422	0
0.543	0	0	55	4	68	28	9422	0
0.544	0	0	55	5	23	24	6882	0
0.545	0	0	55	6	28	28	9422	0
0.546	0	0	55	7	4	24	6882	0
0.547	0	0	55	8	45	28	9422	0
0.548	0	0	55	9	71	24	6882	0
0.549	0	0	55	10	3	24	6882	0
0.55	0	0	56	1	5	24	6882	0
0.551	0	0	56	2	7	28	9422	0
0.552	0	0	56	3	9	28	9422	0
0.554	0	0	56	5	12	28	9422	0
0.555	0	0	56	6	14	26	7708	0
0.556	0	0	56	7	17	28	9422	0
0.557	0	0	56	8	25	26	7708	0
0.558	0	0	56	9	11	28	9422	0
0.559	0	0	56	10	37	24	6882	0
0.56	0	0	57	1	38	28	9422	0
0.561	0	0	57	2	48	24	6882	0
0.562	0	0	57	3	49	26	7708	0
0.563	0	0	57	4	67	26	7708	0
0.564	0	0	57	5	57	26	7708	0
0.565	0	0	57	6	64	28	9422	0
0.566	0	0	57	7	26	28	9422	0
0.567	0	0	57	8	68	28	9422	0
0.568	0	0	57	9	28	28	9422	0
0.569	0	0	57	10	71	24	6882	0
0.57	0	0	58	1	3	24	6882	0
0.571	0	0	58	2	5	24	6882	0
0.572	0	0	58	3	7	28	9422	0
0.573	0	0	58	4	9	28	9422	0
0.574	0	0	58	5	23	24	6882	0
0.575	0	0	58	6	12	28	9422	0
0.576	0	0	58	7	14	26	7708	0
0.577	0	0	58	8	17	28	9422	0
0.578	0	0	58	9	25	26	7708	0
0.579	0	0	58	10	37	24	6882	0
0.58	0	0	59	1	38	28	9422	0
0.581	0	0	59	2	48	24	6882	0
0.582	0	0	59	3	49	26	7708	0
0.583	0	0	59	4	10	26	7708	0
0.584	0	0	59	5	10	26	7708	0
0.585	0	0	59	6	57	26	7708	0
0.586	0	0	59	7	64	28	9422	0
0.587	0	0	59	8	26	28	9422	0
0.588	0	0	59	9	68	28	9422	0
0.589	0	0	59	10	67	26	7708	0
0.59	0	0	60	1	10	26	7708	0
0.591	0	0	60	2	28	28	9422	0
0.592	0	0	60	3	71	24	6882	0
0.593	0	0	60	4	3	24	6882	0
0.594	0	0	60	5	65	28	9422	0
0.595	0	0	60	6	5	24	6882	0
0.596	0	0	60	7	7	28	9422	0
0.597	0	0	60	8	9	28	9422	0
0.598	0	0	60	9	23	24	6882	0
0.599	0	0	60	10	12	28	9422	0
0.6	0	0	61	1	14	26	7708	0
0.601	0	0	61	2	17	28	9422	0
0.602	0	0	61	3	69	28	9422	0
0.604	0	0	61	5	19	24	6882	0
0.605	0	0	61	6	25	26	7708	0
0.606	0	0	61	7	37	24	6882	0
0.607	0	0	61	8	38	28	9422	0
0.608	0	0	61	9	48	24	6882	0
0.609	0	0	61	10	49	26	7708	0
0.61	0	0	62	1	57	26	7708	0
0.611	0	0	62	2	10	26	7708	0
0.612	0	0	62	3	64	28	9422	0
0.613	0	0	62	4	65	28	9422	0
0.614	0	0	62	5	26	28	9422	0
0.615	0	0	62	6	68	28	9422	0
0.616	0	0	62	7	28	28	9422	0
0.617	0	0	62	8	46	26	7708	0
0.618	0	0	62	9	67	26	7708	0
0.619	0	0	62	10	71	24	6882	0
0.62	0	0	63	1	3	24	6882	0
0.621	0	0	63	2	5	24	6882	0
0.622	0	0	63	3	7	28	9422	0
0.623	0	0	63	4	9	28	9422	0
0.624	0	0	63	5	12	28	9422	0
0.625	0	0	63	6	14	26	7708	0
0.626	0	0	63	7	8	28	9422	0
0.627	0	0	63	8	11	28	9422	0
0.628	0	0	63	9	8	28	9422	0
0.629	0	0	63	10	17	28	9422	0
0.631	0	0	64	2	25	26	7708	0
0.632	0	0	64	3	23	24	6882	0
0.633	0	0	64	4	37	24	6882	0
0.634	0	0	64	5	38	28	9422	0
0.635	0	0	64	6	48	24	6882	0
0.636	0	0	64	7	49	26	7708	0
0.637	0	0	64	8	57	26	7708	0
0.638	0	0	64	9	10	26	7708	0
0.639	0	0	64	10	64	28	9422	0
0.64	0	0	65	1	26	28	9422	0
0.641	0	0	65	2	68	28	9422	0
0.642	0	0	65	3	28	28	9422	0
0.643	0	0	65	4	71	24	6882	0
0.644	0	0	65	5	3	24	6882	0
0.645	0	0	65	6	5	24	6882	0
0.646	0	0	65	7	7	28	9422	0
0.647	0	0	65	8	9	28	9422	0
0.648	0	0	65	9	12	28	9422	0
0.649	0	0	65	10	67	26	7708	0
0.65	0	0	66	1	55	26	7708	0
0.651	0	0	66	2	23	24	6882	0
0.652	0	0	66	3	65	28	9422	0
0.653	0	0	66	4	14	26	7708	0
0.654	0	0	66	5	17	28	9422	0
0.655	0	0	66	6	25	26	7708	0
0.656	0	0	66	7	37	24	6882	0
0.657	0	0	66	8	38	28	9422	0
0.658	0	0	66	9	48	24	6882	0
0.659	0	0	66	10	49	26	7708	0
0.66	0	0	67	1	57	26	7708	0
0.661	0	0	67	2	64	28	9422	0
0.662	0	0	67	3	68	28	9422	0
0.663	0	0	67	4	10	26	7708	0
0.664	0	0	67	5	28	28	9422	0
0.665	0	0	67	6	71	24	6882	0
0.666	0	0	67	7	3	24	6882	0
0.667	0	0	67	8	5	24	6882	0
0.668	0	0	67	9	7	28	9422	0
0.669	0	0	67	10	9	28	9422	0
0.67	0	0	68	1	12	28	9422	0
0.671	0	0	68	2	67	26	7708	0
0.672	0	0	68	3	14	26	7708	0
0.673	0	0	68	4	17	28	9422	0
0.674	0	0	68	5	25	26	7708	0
0.675	0	0	68	6	37	24	6882	0
0.676	0	0	68	7	38	28	9422	0
0.677	0	0	68	8	48	24	6882	0
0.678	0	0	68	9	49	26	7708	0
0.679	0	0	68	10	58	28	9422	0
0.68	0	0	69	1	41	28	9422	0
0.681	0	0	69	2	65	28	9422	0
0.682	0	0	69	3	26	28	9422	0
0.683	0	0	69	4	57	26	7708	0
0.684	0	0	69	5	10	26	7708	0
0.685	0	0	69	6	64	28	9422	0
0.686	0	0	69	7	68	28	9422	0
0.687	0	0	69	8	28	28	9422	0
0.689	0	0	69	10	71	24	6882	0
0.691	0	0	70	2	3	24	6882	0
0.692	0	0	70	3	5	24	6882	0
0.693	0	0	70	4	7	28	9422	0
0.694	0	0	70	5	9	28	9422	0
0.695	0	0	70	6	12	28	9422	0
0.697	0	0	70	8	67	26	7708	0
0.698	0	0	70	9	14	26	7708	0
0.699	0	0	70	10	69	28	9422	0
0.7	0	0	71	1	23	24	6882	0
0.701	0	0	71	2	58	28	9422	0
0.702	0	0	71	3	17	28	9422	0
0.703	0	0	71	4	25	26	7708	0
0.704	0	0	71	5	41	28	9422	0
0.705	0	0	71	6	41	28	9422	0
0.706	0	0	71	7	65	28	9422	0
0.707	0	0	71	8	37	24	6882	0
0.708	0	0	71	9	38	28	9422	0
0.71	0	0	72	1	41	28	9422	0
0.711	0	0	72	2	48	24	6882	0
0.712	0	0	72	3	49	26	7708	0
0.713	0	0	72	4	57	26	7708	0
0.714	0	0	72	5	10	26	7708	0
0.715	0	0	72	6	64	28	9422	0
0.716	0	0	72	7	68	28	9422	0
0.717	0	0	72	8	28	28	9422	0
0.718	0	0	72	9	23	24	6882	0
0.719	0	0	72	10	71	24	6882	0
0.72	0	0	73	1	20	24	6882	0
0.721	0	0	73	2	55	26	7708	0
0.722	0	0	73	3	70	24	6882	0
0.723	0	0	73	4	20	24	6882	0
0.724	0	0	73	5	26	28	9422	0
0.725	0	0	73	6	3	24	6882	0
0.726	0	0	73	7	45	28	9422	0
0.727	0	0	73	8	5	24	6882	0
0.728	0	0	73	9	70	24	6882	0
0.729	0	0	73	10	69	28	9422	0
0.73	0	0	74	1	7	28	9422	0
0.731	0	0	74	2	9	28	9422	0
0.732	0	0	74	3	12	28	9422	0
0.733	0	0	74	4	67	26	7708	0
0.734	0	0	74	5	14	26	7708	0
0.735	0	0	74	6	17	28	9422	0
0.736	0	0	74	7	25	26	7708	0
0.737	0	0	74	8	37	24	6882	0
0.738	0	0	74	9	38	28	9422	0
0.739	0	0	74	10	41	28	9422	0
0.741	0	0	75	2	48	24	6882	0
0.742	0	0	75	3	19	24	6882	0
0.743	0	0	75	4	70	24	6882	0
0.744	0	0	75	5	49	26	7708	0
0.745	0	0	75	6	23	24	6882	0
0.746	0	0	75	7	57	26	7708	0
0.747	0	0	75	8	10	26	7708	0
0.748	0	0	75	9	64	28	9422	0
0.749	0	0	75	10	70	24	6882	0
0.75	0	0	76	1	68	28	9422	0
0.751	0	0	76	2	28	28	9422	0
0.752	0	0	76	3	71	24	6882	0
0.753	0	0	76	4	46	26	7708	0
0.754	0	0	76	5	26	28	9422	0
0.755	0	0	76	6	3	24	6882	0
0.756	0	0	76	7	5	24	6882	0
0.757	0	0	76	8	7	28	9422	0
0.758	0	0	76	9	9	28	9422	0
0.759	0	0	76	10	12	28	9422	0
0.76	0	0	77	1	69	28	9422	0
0.761	0	0	77	2	14	26	7708	0
0.762	0	0	77	3	17	28	9422	0
0.763	0	0	77	4	25	26	7708	0
0.764	0	0	77	5	37	24	6882	0
0.765	0	0	77	6	38	28	9422	0
0.766	0	0	77	7	58	28	9422	0
0.767	0	0	77	8	41	28	9422	0
0.768	0	0	77	9	48	24	6882	0
0.769	0	0	77	10	49	26	7708	0
0.77	0	0	78	1	70	24	6882	0
0.771	0	0	78	2	57	26	7708	0
0.772	0	0	78	3	10	26	7708	0
0.773	0	0	78	4	64	28	9422	0
0.774	0	0	78	5	68	28	9422	0
0.775	0	0	78	6	28	28	9422	0
0.776	0	0	78	7	71	24	6882	0
0.777	0	0	78	8	3	24	6882	0
0.778	0	0	78	9	23	24	6882	0
0.779	0	0	78	10	5	24	6882	0
0.78	0	0	79	1	7	28	9422	0
0.781	0	0	79	2	67	26	7708	0
0.782	0	0	79	3	9	28	9422	0
0.783	0	0	79	4	12	28	9422	0
0.784	0	0	79	5	14	26	7708	0
0.785	0	0	79	6	26	28	9422	0
0.786	0	0	79	7	55	26	7708	0
0.787	0	0	79	8	17	28	9422	0
0.788	0	0	79	9	55	26	7708	0
0.789	0	0	79	10	25	26	7708	0
0.79	0	0	80	1	37	24	6882	0
0.791	0	0	80	2	38	28	9422	0
0.792	0	0	80	3	48	24	6882	0
0.793	0	0	80	4	41	28	9422	0
0.794	0	0	80	5	49	26	7708	0
0.795	0	0	80	6	70	24	6882	0
0.796	0	0	80	7	57	26	7708	0
0.797	0	0	80	8	10	26	7708	0
0.798	0	0	80	9	64	28	9422	0
0.799	0	0	80	10	68	28	9422	0
0.8	0	0	81	1	28	28	9422	0
0.801	0	0	81	2	71	24	6882	0
0.802	0	0	81	3	3	24	6882	0
0.803	0	0	81	4	67	26	7708	0
0.804	0	0	81	5	5	24	6882	0
0.805	0	0	81	6	7	28	9422	0
0.806	0	0	81	7	9	28	9422	0
0.807	0	0	81	8	12	28	9422	0
0.808	0	0	81	9	14	26	7708	0
0.809	0	0	81	10	17	28	9422	0
0.81	0	0	82	1	25	26	7708	0
0.811	0	0	82	2	19	24	6882	0
0.812	0	0	82	3	37	24	6882	0
0.813	0	0	82	4	38	28	9422	0
0.814	0	0	82	5	41	28	9422	0
0.815	0	0	82	6	48	24	6882	0
0.816	0	0	82	7	69	28	9422	0
0.818	0	0	82	9	49	26	7708	0
0.819	0	0	82	10	4	24	6882	0
0.82	0	0	83	1	70	24	6882	0
0.821	0	0	83	2	57	26	7708	0
0.822	0	0	83	3	10	26	7708	0
0.823	0	0	83	4	64	28	9422	0
0.824	0	0	83	5	23	24	6882	0
0.825	0	0	83	6	68	28	9422	0
0.826	0	0	83	7	28	28	9422	0
0.827	0	0	83	8	71	24	6882	0
0.828	0	0	83	9	3	24	6882	0
0.829	0	0	83	10	5	24	6882	0
0.83	0	0	84	1	7	28	9422	0
0.831	0	0	84	2	9	28	9422	0
0.832	0	0	84	3	12	28	9422	0
0.833	0	0	84	4	14	26	7708	0
0.834	0	0	84	5	16	28	9422	0
0.835	0	0	84	6	17	28	9422	0
0.836	0	0	84	7	25	26	7708	0
0.837	0	0	84	8	37	24	6882	0
0.838	0	0	84	9	38	28	9422	0
0.839	0	0	84	10	41	28	9422	0
0.84	0	0	85	1	48	24	6882	0
0.841	0	0	85	2	67	26	7708	0
0.842	0	0	85	3	8	28	9422	0
0.843	0	0	85	4	65	28	9422	0
0.844	0	0	85	5	49	26	7708	0
0.845	0	0	85	6	70	24	6882	0
0.846	0	0	85	7	57	26	7708	0
0.847	0	0	85	8	10	26	7708	0
0.848	0	0	85	9	64	28	9422	0
0.849	0	0	85	10	68	28	9422	0
0.85	0	0	86	1	28	28	9422	0
0.851	0	0	86	2	23	24	6882	0
0.852	0	0	86	3	71	24	6882	0
0.853	0	0	86	4	3	24	6882	0
0.854	0	0	86	5	46	26	7708	0
0.855	0	0	86	6	16	28	9422	0
0.856	0	0	86	7	5	24	6882	0
0.857	0	0	86	8	7	28	9422	0
0.858	0	0	86	9	9	28	9422	0
0.859	0	0	86	10	12	28	9422	0
0.86	0	0	87	1	14	26	7708	0
