timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1761058001385,00011,7,3,0,0,6,11,24.194205,95.000000,7,12.667717,72.000000,3,4.633435,56.000000,8,-1.351743,44.000000,5,-2.594091,41.000000,2,-8.551372,29.000000,4,-9.791266,27.000000,,,,,,
1761058001385,00043,7,3,0,0,6,43,36.964615,121.000000,2,11.167416,69.000000,8,3.923798,54.000000,7,1.304320,49.000000,5,-1.277267,44.000000,3,-8.502080,29.000000,4,-13.424434,19.000000,,,,,,
1761058001385,00055,7,3,0,0,6,55,45.281156,127.000000,5,4.874698,56.000000,4,1.868822,50.000000,7,-4.643120,37.000000,2,-7.037472,32.000000,3,-11.099990,24.000000,8,-16.994215,12.000000,,,,,,
1761058001385,00057,7,3,0,0,6,57,38.201133,123.000000,2,-3.788029,39.000000,5,-4.429780,37.000000,7,-4.838720,37.000000,8,-10.024616,26.000000,4,-12.182166,22.000000,3,-12.820999,21.000000,,,,,,
1761058001385,00058,7,3,0,0,6,58,15.774694,78.000000,4,4.522016,55.000000,7,4.374369,55.000000,2,0.653267,48.000000,5,0.499527,47.000000,8,-5.685562,35.000000,3,-17.187380,12.000000,,,,,,
1761058001385,00012,7,3,0,0,6,12,33.827402,115.000000,2,5.472471,57.000000,7,3.266507,53.000000,5,-1.475002,43.000000,8,-7.902435,30.000000,4,-19.503938,7.000000,3,-26.031789,0.000000,,,,,,
1761058001385,00061,7,3,0,0,6,61,28.976811,105.000000,5,10.587815,68.000000,2,1.186329,49.000000,7,-3.680131,39.000000,3,-11.225976,24.000000,8,-12.510045,21.000000,4,-18.045258,10.000000,,,,,,
1761058001485,00011,7,7,0,0,6,11,22.133439,91.000000,7,13.206543,73.000000,3,2.886765,52.000000,8,1.438414,49.000000,2,-5.884639,35.000000,5,-9.581247,27.000000,4,-11.789666,23.000000,,,,,,
1761058001485,00043,7,7,0,0,6,43,35.646302,118.000000,2,9.801026,66.000000,8,3.515781,53.000000,7,-0.629798,45.000000,5,-1.665123,43.000000,3,-8.496267,29.000000,4,-12.971525,20.000000,,,,,,
1761058001485,00055,7,7,0,0,6,55,40.254893,127.000000,5,2.571023,52.000000,4,1.811784,50.000000,7,0.171290,47.000000,2,-6.402190,33.000000,3,-10.747196,25.000000,8,-14.133203,18.000000,,,,,,
1761058001485,00057,7,7,0,0,6,57,36.615807,120.000000,2,-0.047793,46.000000,7,-2.256024,42.000000,8,-3.971999,38.000000,5,-5.774164,35.000000,4,-6.609848,33.000000,3,-11.198122,24.000000,,,,,,
1761058001485,00058,7,7,0,0,6,58,16.679136,80.000000,4,8.799097,64.000000,7,2.323545,51.000000,5,0.574154,48.000000,2,-0.242109,46.000000,8,-3.584252,39.000000,3,-16.041429,14.000000,,,,,,
1761058001485,00012,7,7,0,0,6,12,22.630610,92.000000,2,5.761067,58.000000,7,4.553803,56.000000,5,-5.116009,36.000000,8,-7.649117,31.000000,4,-24.579950,0.000000,3,-28.471566,0.000000,,,,,,
1761058001485,00061,7,7,0,0,6,61,23.616854,94.000000,5,5.005445,56.000000,2,0.168136,47.000000,7,-2.717925,41.000000,8,-6.898916,32.000000,3,-9.687089,27.000000,4,-21.701242,3.000000,,,,,,
1761058001585,00011,8,7,0,0,6,11,20.724485,88.000000,7,9.773596,66.000000,3,0.262553,47.000000,8,-1.943675,42.000000,5,-3.734876,39.000000,2,-6.046642,34.000000,4,-19.191193,8.000000,,,,,,
1761058001585,00043,8,7,0,0,6,43,37.240817,121.000000,8,9.067598,65.000000,2,6.516670,60.000000,5,1.354253,49.000000,7,1.161628,49.000000,3,-3.391349,40.000000,4,-12.405786,21.000000,,,,,,
1761058001585,00055,8,7,0,0,6,55,42.598794,127.000000,5,5.049301,57.000000,7,-0.566649,45.000000,4,-4.275255,38.000000,2,-5.635850,35.000000,3,-9.160091,28.000000,8,-15.059400,16.000000,,,,,,
1761058001585,00057,8,7,0,0,6,57,35.362593,118.000000,2,-0.687963,45.000000,7,-4.343234,38.000000,5,-5.702543,35.000000,8,-6.316370,34.000000,4,-6.501283,33.000000,3,-12.041443,22.000000,,,,,,
1761058001585,00058,8,7,0,0,6,58,19.900439,86.000000,7,7.755767,62.000000,4,4.815087,56.000000,5,1.191979,49.000000,2,-0.539292,45.000000,8,-7.832804,31.000000,3,-18.945063,8.000000,,,,,,
1761058001585,00012,8,7,0,0,6,12,34.672231,116.000000,7,4.038357,55.000000,2,3.581145,54.000000,5,-2.914633,40.000000,8,-5.738821,35.000000,4,-21.317608,3.000000,3,-27.413812,0.000000,,,,,,
1761058001585,00061,8,7,0,0,6,61,35.495665,118.000000,5,2.434927,51.000000,2,-3.557300,39.000000,7,-4.369609,38.000000,8,-7.829606,31.000000,3,-9.357898,28.000000,4,-17.591007,11.000000,,,,,,
1761058001585,00038,8,7,0,0,6,38,15.545882,78.000000,5,15.130441,77.000000,4,1.762632,50.000000,2,1.414310,49.000000,8,-1.805540,43.000000,7,-6.276718,34.000000,3,-23.191316,0.000000,,,,,,
1761058001685,00011,8,8,0,0,6,11,19.188328,85.000000,7,4.131885,55.000000,3,0.583460,48.000000,8,0.228464,47.000000,5,-3.448344,39.000000,2,-5.900411,34.000000,4,-15.528045,15.000000,,,,,,
1761058001685,00043,8,8,0,0,6,43,44.958045,127.000000,8,7.911739,62.000000,2,5.822454,58.000000,7,2.104773,51.000000,5,1.363661,49.000000,3,-7.245436,32.000000,4,-10.925369,24.000000,,,,,,
1761058001685,00055,8,8,0,0,6,55,41.850747,127.000000,5,5.531387,58.000000,4,4.510331,55.000000,7,0.804590,48.000000,3,-6.581852,33.000000,2,-9.023457,28.000000,8,-13.194654,20.000000,,,,,,
1761058001685,00057,8,8,0,0,6,57,33.052074,113.000000,7,-2.449234,41.000000,5,-2.593189,41.000000,2,-3.839881,39.000000,8,-7.487642,31.000000,3,-9.806397,27.000000,4,-13.883828,18.000000,,,,,,
1761058001685,00058,8,8,0,0,6,58,17.856053,82.000000,5,6.753641,60.000000,7,4.164825,55.000000,4,2.437506,51.000000,2,-2.994887,40.000000,8,-4.754802,37.000000,3,-19.878991,6.000000,,,,,,
1761058001685,00012,8,8,0,0,6,12,31.598840,110.000000,2,9.533871,66.000000,7,4.730005,56.000000,5,-0.619394,45.000000,8,-11.870296,22.000000,4,-21.911590,2.000000,3,-29.603700,0.000000,,,,,,
1761058001685,00061,8,8,0,0,6,61,17.615504,82.000000,5,4.242513,55.000000,7,1.621935,50.000000,2,-0.698877,45.000000,8,-7.969656,30.000000,3,-17.006031,12.000000,4,-18.887439,8.000000,,,,,,
1761058001685,00038,8,8,0,0,6,38,14.492210,76.000000,5,14.649401,76.000000,4,2.794408,52.000000,2,2.346641,51.000000,8,-3.042815,40.000000,7,-6.644944,33.000000,3,-23.363309,0.000000,,,,,,
1761058001785,00011,8,8,0,0,6,11,24.087761,95.000000,3,3.043720,53.000000,7,-0.900227,45.000000,8,-3.306125,40.000000,5,-4.278084,38.000000,2,-5.248771,36.000000,4,-20.137877,6.000000,,,,,,
1761058001785,00043,8,8,0,0,6,43,31.045156,109.000000,2,8.511652,64.000000,8,6.890487,60.000000,7,0.467551,47.000000,5,-0.283370,46.000000,3,-5.716074,35.000000,4,-14.102338,18.000000,,,,,,
