timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1761058001385,00005,8,4,0,0,3,5,28.848822,105.000000,8,2.344717,51.000000,2,-0.256459,46.000000,4,-1.349122,44.000000,5,-12.447816,21.000000,6,-18.905935,8.000000,7,-19.946116,6.000000,,,,,,
1761058001385,00017,8,4,0,0,3,17,19.721601,86.000000,4,11.227711,69.000000,5,0.115790,47.000000,7,-0.674536,45.000000,2,-3.046373,40.000000,8,-4.039872,38.000000,6,-19.987619,6.000000,,,,,,
1761058001385,00018,8,4,0,0,3,18,14.872762,76.000000,8,5.738898,58.000000,2,3.310874,53.000000,4,2.741886,52.000000,6,1.630531,50.000000,7,-1.538296,43.000000,5,-15.197866,16.000000,,,,,,
1761058001385,00022,8,4,0,0,3,22,27.560247,102.000000,7,3.936915,54.000000,4,1.344441,49.000000,6,-1.986048,42.000000,5,-2.170060,42.000000,2,-3.290472,40.000000,8,-4.587544,37.000000,,,,,,
1761058001385,00023,8,4,0,0,3,23,12.248081,71.000000,4,-1.156896,44.000000,7,-2.044690,42.000000,8,-4.154076,38.000000,2,-8.104102,30.000000,5,-11.301641,24.000000,6,-13.955251,18.000000,,,,,,
1761058001385,00035,8,4,0,0,3,35,2.938523,52.000000,2,4.050314,55.000000,8,2.886776,52.000000,4,-1.022977,44.000000,5,-3.709468,39.000000,7,-11.871975,22.000000,6,-23.461668,0.000000,,,,,,
1761058001385,00047,8,4,0,0,3,47,5.766693,58.000000,8,4.516266,55.000000,4,3.359216,53.000000,5,-2.834154,41.000000,6,-3.444346,39.000000,7,-4.036949,38.000000,2,-5.818429,35.000000,,,,,,
1761058001385,00060,8,4,0,0,3,60,7.278076,61.000000,6,-0.240277,46.000000,8,-0.685522,45.000000,2,-3.935854,38.000000,7,-6.704621,33.000000,5,-9.199754,28.000000,4,-16.198838,14.000000,,,,,,
1761058001485,00005,8,8,0,0,3,5,27.060967,101.000000,2,-0.005476,46.000000,8,-0.149467,46.000000,4,-3.585168,39.000000,5,-11.907756,22.000000,6,-18.499436,9.000000,7,-20.123397,6.000000,,,,,,
1761058001485,00017,8,8,0,0,3,17,26.172900,99.000000,4,7.343400,61.000000,5,3.651097,54.000000,7,-3.760742,39.000000,2,-6.890515,32.000000,8,-9.238169,28.000000,6,-20.736471,5.000000,,,,,,
1761058001485,00018,8,8,0,0,3,18,12.462385,71.000000,4,4.767246,56.000000,2,3.341223,53.000000,6,0.902049,48.000000,8,0.410999,47.000000,7,-3.928018,38.000000,5,-14.895221,16.000000,,,,,,
